LATITUDE,LONGITUDE,TWAY_ID,TWAY_ID2,DRUNK_DR,PEDS,REDLIGHTCRASH,SPEEDREL,PEDESTRIAN,YEAR,MONTH,DAY
,,291,,0,0,0,0,0,1995,2,12
,,CRESTLINE,,0,1,0,0,1,1995,4,8
,,SPOKANCHNY,,1,0,0,1,0,1995,5,22
,,TJMENACHDR,,0,0,0,1,0,1995,10,29
,,W8006TH,,1,0,0,1,0,1995,11,1
,,290,,1,0,0,1,0,1995,9,20
,,ASH,,0,0,0,0,0,1995,12,21
,,CENTRAL,,1,0,0,0,0,1996,4,1
,,ASH,,0,0,0,0,0,1996,2,28
,,HOWARD,,1,0,1,1,0,1996,4,26
,,missionave,,1,0,1,1,0,1996,5,25
,,CEDAR,,0,0,0,1,0,1996,9,10
,,NEVADA,,0,1,0,0,1,1996,11,23
,,290,,1,0,0,0,0,1996,12,1
,,GARDNER,,0,1,0,0,1,1997,5,31
,,E1ST,,1,0,0,1,0,1997,7,19
,,5832,,1,1,0,0,1,1997,8,28
,,SUNSETBLVD,,0,1,0,0,0,1997,9,16
,,CLARKE,,1,0,0,1,0,1997,11,2
,,FRYAST,,0,0,0,0,0,1997,12,14
,,I-90,,1,0,0,1,0,1998,3,15
,,POST,,0,1,0,0,0,1998,4,7
,,MAPLEST,,0,0,0,0,0,1998,4,24
,,TRENT,,1,0,0,1,0,1998,4,28
,,HAVANA,,0,0,0,1,0,1998,4,24
,,US-195,,1,0,0,1,0,1998,7,17
,,INDIANAST,,0,0,1,0,0,1998,9,8
,,SPRAGUE,,1,0,0,0,0,1998,9,27
,,CRESTLINE,,1,0,0,1,0,1998,6,27
,,SPOKANEFALLS,,0,0,0,0,0,1998,3,4
,,SR-290,,0,0,0,0,0,1998,12,30
,,US-2,,0,1,0,0,1,1998,12,31
,,ETRENT,,1,0,0,1,0,1998,4,5
88888888,888888888,HATCH,,1,0,0,1,0,1999,1,1
88888888,888888888,SR-291,,0,1,0,0,1,1999,1,14
88888888,888888888,CHENEY-SPOKANERD,,0,0,0,1,0,1999,2,2
88888888,888888888,DIVISIONST,,0,0,0,0,0,1999,3,29
88888888,888888888,HOWARDST,,0,0,0,0,0,1999,5,3
88888888,888888888,US-195,,0,0,0,0,0,1999,5,19
88888888,888888888,US-2,,1,1,0,0,1,1999,5,11
88888888,888888888,NMOORE,,0,0,0,1,0,1999,10,16
88888888,888888888,NFOOTHILLS,,0,0,1,1,0,1999,10,18
88888888,888888888,MONROE,,1,0,0,1,0,1999,10,16
88888888,888888888,WWELLESLY,,0,0,0,0,0,1999,9,11
88888888,888888888,MAPLE,,1,1,0,0,1,1999,11,10
88888888,888888888,FRANCISAVE,,1,1,0,0,1,1999,12,27
88888888,888888888,WELLESLEYAVE,,0,1,0,0,1,2000,1,24
88888888,888888888,US-2,,0,0,1,0,0,2000,5,14
88888888,888888888,NFOOTHILLSDR,,1,0,0,1,0,2000,7,26
88888888,888888888,US-2,,0,1,0,0,1,2000,8,3
88888888,888888888,US-2,,3,0,0,0,0,2000,8,19
88888888,888888888,LACROSSE,,2,0,0,1,0,2000,8,19
88888888,888888888,US-195,,1,0,0,0,0,2000,9,22
88888888,888888888,RAYPLACE,,0,0,0,1,0,2000,10,7
88888888,888888888,BISMARK,,0,0,0,1,0,2000,11,13
88888888,888888888,CRESTLINE,,0,0,0,0,0,2000,12,5
47.70044722,-117.3734639,WELLESLEY,,2,2,0,1,1,2001,1,25
47.62465,-117.390075,PERRY,,1,1,0,0,1,2001,4,13
47.67881667,-117.4097972,RUBY,,0,1,0,0,1,2001,5,8
47.71145,-117.4113222,DIVISION,,0,1,0,0,1,2001,3,19
47.71320278,-117.4113194,US-2,,0,1,0,0,1,2001,7,14
47.69347778,-117.44315,GARLAND,,0,0,0,1,0,2001,10,20
47.66436389,-117.4416917,BROADWAY,,0,1,0,0,1,2001,12,11
47.65357222,-117.4220472,WTHIRDAVENUE,,0,1,1,0,1,2001,12,27
47.66350833,-117.4159667,NORTH RIVER DR,,0,2,0,0,1,2002,1,6
47.67170556,-117.4013472,MISSION ST,,1,1,0,0,1,2002,1,11
47.70414444,-117.3663139,HAVEN,,1,0,0,1,0,2002,2,22
47.71507222,-117.4253444,FRANCIS,,0,0,1,1,0,2002,7,2
47.69223056,-117.3177944,UPRIVER DR,,2,0,0,1,0,2002,8,11
,,DIVISION ST,,0,1,0,0,1,2002,11,20
48.03563611,-117.3497444,US-2,,0,0,0,0,0,2003,2,10
47.65068611,-117.4449583,SUNSET BLVD,,0,0,0,1,0,2003,4,17
47.68425,-117.3966722,HAMITTON,,1,0,0,1,0,2003,6,1
47.63252778,-117.4448528,US-195,,0,0,0,0,0,2003,6,11
47.68039167,-117.3638639,GREENE,,0,1,0,0,0,2003,8,17
,,I-90,,1,0,0,0,0,2003,9,15
47.63252778,-117.4448528,US-195,,0,0,0,0,0,2003,9,21
47.65711667,-117.3221389,I-90,,0,0,0,1,0,2003,9,26
47.66429444,-117.2778444,BROADWAY,,0,0,0,1,0,2003,9,22
47.657,-117.1698583,APPLE WAY,,0,0,0,0,0,2003,9,23
47.71676667,-117.4112361,DIVISION,,0,1,0,0,1,2003,10,4
47.642375,-117.196825,16TH AVE,,0,2,0,0,1,2003,8,24
47.6467,-117.3570083,PRATT ST,1.00E+20,0,0,0,0,0,2004,2,21
47.65365556,-117.3522778,I-90,1.00E+20,0,0,0,0,0,2004,3,22
,,8TH AVE,1.00E+20,0,0,0,1,0,2004,3,18
47.64984167,-117.3603333,THOR RD,HARTSON RD,0,0,0,1,0,2004,4,29
47.71676667,-117.4112361,DIVISON,HUSTON,1,1,0,0,1,2004,5,25
,,OHIO ST,1.00E+20,1,0,0,1,0,2004,6,8
47.67153333,-117.2777972,MISSION ST,LOCUST ST,0,0,0,0,0,2004,9,21
47.64982222,-117.2782583,DISHMAN MICA,8TH,0,0,0,0,0,2004,10,3
47.69937222,-117.4219611,WALL ST,PRINCETON,1,3,0,0,1,2004,10,15
47.71674722,-117.4112361,DIVISION N,1.00E+20,2,1,0,0,1,2004,12,12
47.65341667,-117.2289667,MCDONALD ST,4TH AVE,0,0,0,0,0,2005,3,8
47.70048056,-117.2128111,WELLESLEY,BEST,0,1,0,0,0,2005,5,11
47.64504444,-117.3603389,THOR ST,11TH ST,0,0,0,0,0,2005,5,26
47.68298333,-117.3643556,GREEN ST,1.00E+20,0,0,0,1,0,2005,6,12
47.65707778,-117.2234306,E SPRAGUE,1.00E+20,0,0,0,0,0,2005,9,26
47.63474722,-117.4055972,GRAND BLVD,22ND AVE,1,1,0,0,1,2005,11,3
47.67954444,-117.3658639,UPRIVER RD,1.00E+20,1,0,0,1,0,2005,11,20
47.61466944,-117.4019806,HIGH DRIVE,1.00E+20,1,0,0,0,0,2005,8,9
47.65535833,-117.281325,DISHMAN-MICA,APPLEWAY,0,0,1,0,0,2005,12,22
47.65273611,-117.4250028,I-90,LINCOLN ST,1,0,0,0,0,2006,4,21
47.65219722,-117.4249722,LINCOLN,4TH AVE,2,0,0,1,0,2006,5,6
47.93215278,-117.4984528,BURROUGHS,MONROE,0,0,0,1,0,2006,4,27
47.65708333,-117.3231,I-90 RAMP,SPRAGUE,1,0,0,0,0,2006,6,9
47.64267222,-117.4607139,I-90,1.00E+20,0,0,0,0,0,2006,8,7
